Date/Time,Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep) 
 01/01  00:05:00,571.0 
 01/01  00:10:00,1145.7079270903224 
 01/01  00:15:00,571.0 
 01/01  00:20:00,605.493327055001 
 01/01  00:25:00,2215.822073664253 
 01/01  00:30:00,758.6951127312059 
 01/01  00:35:00,960.5394169618164 
 01/01  00:40:00,1497.1000541081872 
 01/01  00:45:00,1030.510176820961 
 01/01  00:50:00,1119.982354668346 
 01/01  00:55:00,1135.0967301682577 
 01/01  01:00:00,571.0 
 01/01  01:05:00,604.266551629197 
 01/01  01:10:00,2161.029118988133 
 01/01  01:15:00,757.5036550348533 
 01/01  01:20:00,947.3574988069452 
 01/01  01:25:00,1493.966932948871 
 01/01  01:30:00,1030.019050982393 
 01/01  01:35:00,1121.1357652624186 
 01/01  01:40:00,1134.0327559686144 
 01/01  01:45:00,571.0 
 01/01  01:50:00,611.8060461759461 
 01/01  01:55:00,2175.717496692708 
 01/01  02:00:00,761.0203242820463 
 01/01  02:05:00,951.9589262575942 
 01/01  02:10:00,1493.5219138825412 
 01/01  02:15:00,1024.1021638904084 
 01/01  02:20:00,1111.1363696357497 
 01/01  02:25:00,1123.5448822564709 
 01/01  02:30:00,571.0 
 01/01  02:35:00,593.5625842906821 
 01/01  02:40:00,2119.455421424846 
 01/01  02:45:00,745.8240409765411 
 01/01  02:50:00,904.3527165636833 
 01/01  02:55:00,1454.6925556295735 
 01/01  03:00:00,991.7461357449773 
 01/01  03:05:00,1083.018393909988 
 01/01  03:10:00,1097.1215802096966 
 01/01  03:15:00,571.0 
 01/01  03:20:00,612.2557777898384 
 01/01  03:25:00,2076.6528107982519 
 01/01  03:30:00,749.576576935976 
 01/01  03:35:00,950.0355713345662 
 01/01  03:40:00,1435.7198832949019 
 01/01  03:45:00,1013.069786223243 
 01/01  03:50:00,1096.6563769070204 
 01/01  03:55:00,1106.6545488937587 
 01/01  04:00:00,571.0 
 01/01  04:05:00,610.6302540744907 
 01/01  04:10:00,2097.5473089451545 
 01/01  04:15:00,746.2759664255392 
 01/01  04:20:00,905.3692652217968 
 01/01  04:25:00,1437.9141266447996 
