Date/Time,Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep) 
 01/01  00:05:00,0.0 
 01/01  00:10:00,0.0 
 01/01  00:15:00,0.0 
 01/01  00:20:00,0.0 
 01/01  00:25:00,0.0 
 01/01  00:30:00,0.0 
 01/01  00:35:00,0.0 
 01/01  00:40:00,0.0 
 01/01  00:45:00,0.0 
 01/01  00:50:00,0.0 
 01/01  00:55:00,0.0 
 01/01  01:00:00,0.0 
 01/01  01:05:00,0.0 
 01/01  01:10:00,0.0 
 01/01  01:15:00,0.0 
 01/01  01:20:00,0.0 
 01/01  01:25:00,0.0 
 01/01  01:30:00,0.0 
 01/01  01:35:00,0.0 
 01/01  01:40:00,0.0 
 01/01  01:45:00,0.0 
 01/01  01:50:00,0.0 
 01/01  01:55:00,0.0 
 01/01  02:00:00,0.0 
 01/01  02:05:00,0.0 
 01/01  02:10:00,0.0 
 01/01  02:15:00,0.0 
 01/01  02:20:00,0.0 
 01/01  02:25:00,0.0 
 01/01  02:30:00,0.0 
 01/01  02:35:00,0.0 
 01/01  02:40:00,0.0 
 01/01  02:45:00,0.0 
 01/01  02:50:00,0.0 
 01/01  02:55:00,0.0 
 01/01  03:00:00,0.0 
 01/01  03:05:00,0.0 
 01/01  03:10:00,0.0 
 01/01  03:15:00,0.0 
 01/01  03:20:00,0.0 
 01/01  03:25:00,0.0 
 01/01  03:30:00,0.0 
 01/01  03:35:00,0.0 
 01/01  03:40:00,0.0 
 01/01  03:45:00,0.0 
 01/01  03:50:00,0.0 
 01/01  03:55:00,0.0 
 01/01  04:00:00,0.0 
 01/01  04:05:00,0.0 
 01/01  04:10:00,0.0 
 01/01  04:15:00,0.0 
 01/01  04:20:00,0.0 
 01/01  04:25:00,0.0 
 01/01  04:30:00,0.0 
 01/01  04:35:00,0.0 
 01/01  04:40:00,0.0 
 01/01  04:45:00,0.0 
 01/01  04:50:00,0.0 
 01/01  04:55:00,0.0 
 01/01  05:00:00,0.0 
 01/01  05:05:00,0.0 
 01/01  05:10:00,0.0 
 01/01  05:15:00,0.0 
 01/01  05:20:00,0.0 
 01/01  05:25:00,0.0 
 01/01  05:30:00,0.0 
 01/01  05:35:00,0.0 
 01/01  05:40:00,0.0 
 01/01  05:45:00,0.0 
 01/01  05:50:00,0.0 
 01/01  05:55:00,0.0 
 01/01  06:00:00,0.0 
 01/01  06:05:00,0.0 
 01/01  06:10:00,0.0 
 01/01  06:15:00,0.0 
 01/01  06:20:00,0.0 
 01/01  06:25:00,0.0 
 01/01  06:30:00,0.0 
 01/01  06:35:00,0.0 
 01/01  06:40:00,0.0 
 01/01  06:45:00,0.0 
 01/01  06:50:00,0.0 
 01/01  06:55:00,0.0 
 01/01  07:00:00,0.0 
 01/01  07:05:00,0.0 
 01/01  07:10:00,0.0 
 01/01  07:15:00,0.0 
 01/01  07:20:00,0.0 
 01/01  07:25:00,0.0 
 01/01  07:30:00,0.0 
 01/01  07:35:00,0.0 
 01/01  07:40:00,0.0 
 01/01  07:45:00,0.0 
 01/01  07:50:00,0.0 
 01/01  07:55:00,0.0 
 01/01  08:00:00,0.0 
 01/01  08:05:00,6.416666666666667 
 01/01  08:10:00,7.333333333333334 
 01/01  08:15:00,8.25 
 01/01  08:20:00,9.166666666666668 
 01/01  08:25:00,10.083333333333333 
 01/01  08:30:00,11.0 
 01/01  08:35:00,14.75 
 01/01  08:40:00,18.5 
 01/01  08:45:00,22.25 
 01/01  08:50:00,26.0 
 01/01  08:55:00,29.75 
 01/01  09:00:00,33.5 
 01/01  09:05:00,37.25000000000001 
 01/01  09:10:00,41.0 
 01/01  09:15:00,44.75 
 01/01  09:20:00,48.50000000000001 
 01/01  09:25:00,52.24999999999999 
 01/01  09:30:00,56.0 
 01/01  09:35:00,59.75 
 01/01  09:40:00,63.5 
 01/01  09:45:00,67.25 
 01/01  09:50:00,71.0 
 01/01  09:55:00,74.75 
 01/01  10:00:00,78.5 
 01/01  10:05:00,82.25 
 01/01  10:10:00,86.0 
 01/01  10:15:00,89.75 
 01/01  10:20:00,93.5 
 01/01  10:25:00,97.25 
 01/01  10:30:00,101.0 
 01/01  10:35:00,97.41666666666666 
 01/01  10:40:00,93.83333333333334 
 01/01  10:45:00,90.25 
 01/01  10:50:00,86.66666666666667 
 01/01  10:55:00,83.08333333333334 
 01/01  11:00:00,79.5 
 01/01  11:05:00,75.91666666666666 
 01/01  11:10:00,72.33333333333333 
 01/01  11:15:00,68.75 
 01/01  11:20:00,65.16666666666666 
 01/01  11:25:00,61.583333333333339 
 01/01  11:30:00,58.0 
 01/01  11:35:00,59.083333333333339 
 01/01  11:40:00,60.166666666666667 
 01/01  11:45:00,61.25 
 01/01  11:50:00,62.33333333333333 
 01/01  11:55:00,63.41666666666667 
 01/01  12:00:00,64.5 
 01/01  12:05:00,65.58333333333334 
 01/01  12:10:00,66.66666666666666 
 01/01  12:15:00,67.75 
 01/01  12:20:00,68.83333333333334 
 01/01  12:25:00,69.91666666666666 
 01/01  12:30:00,71.0 
 01/01  12:35:00,73.75 
 01/01  12:40:00,76.5 
 01/01  12:45:00,79.25 
 01/01  12:50:00,82.0 
 01/01  12:55:00,84.75 
 01/01  13:00:00,87.5 
 01/01  13:05:00,90.25 
 01/01  13:10:00,93.0 
 01/01  13:15:00,95.75 
 01/01  13:20:00,98.5 
 01/01  13:25:00,101.25 
 01/01  13:30:00,104.0 
 01/01  13:35:00,101.33333333333333 
 01/01  13:40:00,98.66666666666667 
 01/01  13:45:00,96.0 
 01/01  13:50:00,93.33333333333334 
 01/01  13:55:00,90.66666666666667 
 01/01  14:00:00,88.0 
 01/01  14:05:00,85.33333333333333 
 01/01  14:10:00,82.66666666666666 
 01/01  14:15:00,80.0 
 01/01  14:20:00,77.33333333333333 
 01/01  14:25:00,74.66666666666667 
 01/01  14:30:00,72.0 
 01/01  14:35:00,68.91666666666667 
 01/01  14:40:00,65.83333333333333 
 01/01  14:45:00,62.75 
 01/01  14:50:00,59.66666666666667 
 01/01  14:55:00,56.58333333333333 
 01/01  15:00:00,53.5 
 01/01  15:05:00,50.416666666666667 
 01/01  15:10:00,47.33333333333333 
 01/01  15:15:00,44.25 
 01/01  15:20:00,41.166666666666667 
 01/01  15:25:00,38.08333333333333 
 01/01  15:30:00,35.0 
 01/01  15:35:00,32.416666666666667 
 01/01  15:40:00,29.833333333333337 
 01/01  15:45:00,27.25 
 01/01  15:50:00,24.666666666666669 
 01/01  15:55:00,22.083333333333337 
 01/01  16:00:00,19.5 
 01/01  16:05:00,16.916666666666666 
 01/01  16:10:00,14.333333333333333 
 01/01  16:15:00,11.75 
 01/01  16:20:00,9.166666666666666 
