Date/Time,Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep) 
 01/01  00:05:00,0.0 
 01/01  00:10:00,0.0 
 01/01  00:15:00,0.0 
 01/01  00:20:00,0.0 
 01/01  00:25:00,0.0 
 01/01  00:30:00,0.0 
 01/01  00:35:00,0.0 
 01/01  00:40:00,0.0 
 01/01  00:45:00,0.0 
 01/01  00:50:00,0.0 
 01/01  00:55:00,0.0 
 01/01  01:00:00,0.0 
 01/01  01:05:00,0.0 
 01/01  01:10:00,0.0 
 01/01  01:15:00,0.0 
 01/01  01:20:00,0.0 
 01/01  01:25:00,0.0 
 01/01  01:30:00,0.0 
 01/01  01:35:00,0.0 
 01/01  01:40:00,0.0 
 01/01  01:45:00,0.0 
 01/01  01:50:00,0.0 
 01/01  01:55:00,0.0 
 01/01  02:00:00,0.0 
 01/01  02:05:00,0.0 
 01/01  02:10:00,0.0 
 01/01  02:15:00,0.0 
 01/01  02:20:00,0.0 
 01/01  02:25:00,0.0 
 01/01  02:30:00,0.0 
 01/01  02:35:00,0.0 
 01/01  02:40:00,0.0 
 01/01  02:45:00,0.0 
 01/01  02:50:00,0.0 
 01/01  02:55:00,0.0 
 01/01  03:00:00,0.0 
 01/01  03:05:00,0.0 
 01/01  03:10:00,0.0 
 01/01  03:15:00,0.0 
 01/01  03:20:00,0.0 
 01/01  03:25:00,0.0 
 01/01  03:30:00,0.0 
 01/01  03:35:00,0.0 
 01/01  03:40:00,0.0 
 01/01  03:45:00,0.0 
 01/01  03:50:00,0.0 
 01/01  03:55:00,0.0 
 01/01  04:00:00,0.0 
 01/01  04:05:00,0.0 
 01/01  04:10:00,0.0 
 01/01  04:15:00,0.0 
 01/01  04:20:00,0.0 
 01/01  04:25:00,0.0 
 01/01  04:30:00,0.0 
 01/01  04:35:00,0.0 
 01/01  04:40:00,0.0 
 01/01  04:45:00,0.0 
 01/01  04:50:00,0.0 
 01/01  04:55:00,0.0 
 01/01  05:00:00,0.0 
 01/01  05:05:00,0.0 
 01/01  05:10:00,0.0 
 01/01  05:15:00,0.0 
 01/01  05:20:00,0.0 
 01/01  05:25:00,0.0 
 01/01  05:30:00,0.0 
 01/01  05:35:00,0.0 
 01/01  05:40:00,0.0 
 01/01  05:45:00,0.0 
 01/01  05:50:00,0.0 
 01/01  05:55:00,0.0 
 01/01  06:00:00,0.0 
 01/01  06:05:00,0.0 
 01/01  06:10:00,0.0 
 01/01  06:15:00,0.0 
 01/01  06:20:00,0.0 
 01/01  06:25:00,0.0 
 01/01  06:30:00,0.0 
 01/01  06:35:00,0.0 
 01/01  06:40:00,0.0 
 01/01  06:45:00,0.0 
 01/01  06:50:00,0.0 
 01/01  06:55:00,0.0 
 01/01  07:00:00,0.0 
 01/01  07:05:00,0.0 
 01/01  07:10:00,0.0 
 01/01  07:15:00,0.0 
 01/01  07:20:00,0.0 
 01/01  07:25:00,0.0 
 01/01  07:30:00,0.0 
 01/01  07:35:00,0.0 
 01/01  07:40:00,0.0 
 01/01  07:45:00,0.0 
 01/01  07:50:00,0.0 
 01/01  07:55:00,0.0 
 01/01  08:00:00,0.0 
 01/01  08:05:00,2.3333333333333337 
 01/01  08:10:00,2.666666666666667 
 01/01  08:15:00,3.0 
 01/01  08:20:00,3.3333333333333337 
 01/01  08:25:00,3.6666666666666667 
 01/01  08:30:00,4.0 
 01/01  08:35:00,4.333333333333334 
 01/01  08:40:00,4.666666666666666 
 01/01  08:45:00,5.0 
 01/01  08:50:00,5.333333333333333 
 01/01  08:55:00,5.666666666666666 
 01/01  09:00:00,6.0 
 01/01  09:05:00,6.333333333333334 
 01/01  09:10:00,6.666666666666667 
 01/01  09:15:00,7.0 
 01/01  09:20:00,7.333333333333334 
 01/01  09:25:00,7.666666666666666 
 01/01  09:30:00,8.0 
 01/01  09:35:00,7.416666666666666 
 01/01  09:40:00,6.833333333333334 
 01/01  09:45:00,6.25 
 01/01  09:50:00,5.666666666666667 
 01/01  09:55:00,5.083333333333334 
 01/01  10:00:00,4.5 
 01/01  10:05:00,3.9166666666666667 
 01/01  10:10:00,3.333333333333333 
 01/01  10:15:00,2.75 
 01/01  10:20:00,2.1666666666666667 
 01/01  10:25:00,1.5833333333333335 
 01/01  10:30:00,1.0 
 01/01  10:35:00,1.7500000000000005 
 01/01  10:40:00,2.4999999999999997 
 01/01  10:45:00,3.25 
 01/01  10:50:00,3.999999999999999 
 01/01  10:55:00,4.749999999999999 
 01/01  11:00:00,5.5 
 01/01  11:05:00,6.250000000000001 
 01/01  11:10:00,7.000000000000001 
 01/01  11:15:00,7.75 
 01/01  11:20:00,8.5 
 01/01  11:25:00,9.25 
 01/01  11:30:00,10.0 
 01/01  11:35:00,9.833333333333333 
 01/01  11:40:00,9.666666666666668 
 01/01  11:45:00,9.5 
 01/01  11:50:00,9.333333333333334 
 01/01  11:55:00,9.166666666666668 
 01/01  12:00:00,9.0 
 01/01  12:05:00,8.833333333333333 
 01/01  12:10:00,8.666666666666666 
 01/01  12:15:00,8.5 
 01/01  12:20:00,8.333333333333334 
 01/01  12:25:00,8.166666666666666 
 01/01  12:30:00,8.0 
 01/01  12:35:00,7.833333333333333 
 01/01  12:40:00,7.666666666666667 
 01/01  12:45:00,7.5 
 01/01  12:50:00,7.333333333333334 
 01/01  12:55:00,7.166666666666667 
 01/01  13:00:00,7.0 
 01/01  13:05:00,6.833333333333333 
 01/01  13:10:00,6.666666666666666 
 01/01  13:15:00,6.5 
 01/01  13:20:00,6.333333333333333 
 01/01  13:25:00,6.166666666666667 
 01/01  13:30:00,6.0 
 01/01  13:35:00,5.666666666666667 
 01/01  13:40:00,5.333333333333333 
 01/01  13:45:00,5.0 
 01/01  13:50:00,4.666666666666666 
 01/01  13:55:00,4.333333333333333 
 01/01  14:00:00,4.0 
 01/01  14:05:00,3.666666666666667 
 01/01  14:10:00,3.333333333333333 
 01/01  14:15:00,3.0 
 01/01  14:20:00,2.6666666666666667 
 01/01  14:25:00,2.3333333333333337 
 01/01  14:30:00,2.0 
 01/01  14:35:00,1.8333333333333333 
 01/01  14:40:00,1.6666666666666668 
 01/01  14:45:00,1.5 
 01/01  14:50:00,1.3333333333333335 
 01/01  14:55:00,1.1666666666666668 
 01/01  15:00:00,1.0 
 01/01  15:05:00,0.8333333333333333 
 01/01  15:10:00,0.6666666666666665 
 01/01  15:15:00,0.5 
 01/01  15:20:00,0.33333333333333328 
 01/01  15:25:00,0.16666666666666675 
 01/01  15:30:00,0.0 
 01/01  15:35:00,0.0 
 01/01  15:40:00,0.0 
 01/01  15:45:00,0.0 
 01/01  15:50:00,0.0 
 01/01  15:55:00,0.0 
 01/01  16:00:00,0.0 
