Date/Time,Environment:Site Solar Altitude Angle [deg](TimeStep) 
 01/01  00:05:00,-65.57391498473851 
 01/01  00:10:00,-65.6160489691919 
 01/01  00:15:00,-65.61714745205937 
 01/01  00:20:00,-65.57720471296838 
 01/01  00:25:00,-65.4964281022174 
 01/01  00:30:00,-65.37523287957935 
 01/01  00:35:00,-65.21423204741012 
 01/01  00:40:00,-65.01422175302662 
 01/01  00:45:00,-64.77616305429396 
 01/01  00:50:00,-64.50116098609469 
 01/01  00:55:00,-64.1904419267531 
 01/01  01:00:00,-63.84533024612703 
 01/01  01:05:00,-63.46722513323673 
 01/01  01:10:00,-63.05757836881077 
 01/01  01:15:00,-62.6178736469374 
 01/01  01:20:00,-62.14960787909716 
 01/01  01:25:00,-61.654274749053339 
 01/01  01:30:00,-61.13335063990673 
 01/01  01:35:00,-60.58828293204736 
 01/01  01:40:00,-60.020480575646299 
 01/01  01:45:00,-59.431306773392957 
 01/01  01:50:00,-58.82207356585173 
 01/01  01:55:00,-58.1940380892646 
 01/01  02:00:00,-57.548400269553479 
 01/01  02:05:00,-56.8863017224269 
 01/01  02:10:00,-56.208825644052087 
 01/01  02:15:00,-55.51699749650563 
 01/01  02:20:00,-54.81178631462098 
 01/01  02:25:00,-54.094106484005518 
 01/01  02:30:00,-53.36481986256808 
 01/01  02:35:00,-52.62473813900085 
 01/01  02:40:00,-51.87462534078913 
 01/01  02:45:00,-51.11520042124329 
 01/01  02:50:00,-50.34713986970648 
 01/01  02:55:00,-49.57108030157712 
 01/01  03:00:00,-48.78762099525585 
 01/01  03:05:00,-47.997326351781897 
 01/01  03:10:00,-47.200728259988547 
 01/01  03:15:00,-46.398328355696047 
 01/01  03:20:00,-45.590600167981 
 01/01  03:25:00,-44.77799114910221 
 01/01  03:30:00,-43.96092458739387 
 01/01  03:35:00,-43.13980140450221 
 01/01  03:40:00,-42.31500183986682 
 01/01  03:45:00,-41.48688702644233 
 01/01  03:50:00,-40.65580046240321 
 01/01  03:55:00,-39.82206938405314 
 01/01  04:00:00,-38.986006045428158 
 01/01  04:05:00,-38.14790891018713 
 01/01  04:10:00,-37.308063761369208 
 01/01  04:15:00,-36.46674473449037 
 01/01  04:20:00,-35.62421527928065 
 01/01  04:25:00,-34.78072905514787 
 01/01  04:30:00,-33.936530765207269 
 01/01  04:35:00,-33.09185693345287 
 01/01  04:40:00,-32.24693662937548 
 01/01  04:45:00,-31.40199214405678 
 01/01  04:50:00,-30.55723962149957 
 01/01  04:55:00,-29.712889648690795 
 01/01  05:00:00,-28.869147807639508 
 01/01  05:05:00,-28.026215192389509 
 01/01  05:10:00,-27.18428889377612 
 01/01  05:15:00,-26.34356245447823 
 01/01  05:20:00,-25.504226296711903 
 01/01  05:25:00,-24.666468124719868 
 01/01  05:30:00,-23.83047330403022 
 01/01  05:35:00,-22.996425219289983 
 01/01  05:40:00,-22.164505612321528 
 01/01  05:45:00,-21.33489490190301 
 01/01  05:50:00,-20.507772486636715 
 01/01  05:55:00,-19.683317032141376 
 01/01  06:00:00,-18.861706743684203 
 01/01  06:05:00,-18.043119625256034 
 01/01  06:10:00,-17.22773372598816 
 01/01  06:15:00,-16.41572737470935 
 01/01  06:20:00,-15.607279403348251 
 01/01  06:25:00,-14.802569359798272 
 01/01  06:30:00,-14.001777710777076 
 01/01  06:35:00,-13.205086035133208 
 01/01  06:40:00,-12.412677207975904 
 01/01  06:45:00,-11.624735575930151 
 01/01  06:50:00,-10.841447123748388 
 01/01  06:55:00,-10.062999632442212 
 01/01  07:00:00,-9.289582829030332 
 01/01  07:05:00,-8.521388527934852 
 01/01  07:10:00,-7.758610763994942 
 01/01  07:15:00,-7.00144591700504 
 01/01  07:20:00,-6.250092827624428 
 01/01  07:25:00,-5.504752904446098 
 01/01  07:30:00,-4.765630221954432 
 01/01  07:35:00,-4.03293160904424 
 01/01  07:40:00,-3.306866727718687 
 01/01  07:45:00,-2.58764814152849 
 01/01  07:50:00,-1.8754913732624648 
 01/01  07:55:00,-1.17061495134856 
 01/01  08:00:00,-0.47324044437529169 
 01/01  08:05:00,0.21640751690283806 
 01/01  08:10:00,0.8981012307557195 
 01/01  08:15:00,1.5716099295841458 
 01/01  08:20:00,2.236699799698486 
 01/01  08:25:00,2.8931340165575829 
 01/01  08:30:00,3.540672796281681 
 01/01  08:35:00,4.179073464273351 
 01/01  08:40:00,4.808090541793484 
 01/01  08:45:00,5.427475851344499 
 01/01  08:50:00,6.036978641708888 
 01/01  08:55:00,6.63634573347814 
 01/01  09:00:00,7.225321685882103 
 01/01  09:05:00,7.803648985692617 
 01/01  09:10:00,8.371068258926238 
 01/01  09:15:00,8.927318506007209 
 01/01  09:20:00,9.472137360974179 
 01/01  09:25:00,10.005261375220359 
 01/01  09:30:00,10.526426326147006 
 01/01  09:35:00,11.035367550982726 
 01/01  09:40:00,11.531820305877514 
 01/01  09:45:00,12.015520150218292 
 01/01  09:50:00,12.486203355933938 
 01/01  09:55:00,12.943607341362182 
 01/01  10:00:00,13.38747112903869 
 01/01  10:05:00,13.817535826541889 
 01/01  10:10:00,14.233545129287219 
 01/01  10:15:00,14.635245843912714 
 01/01  10:20:00,15.022388430637604 
 01/01  10:25:00,15.394727562709165 
 01/01  10:30:00,15.752022700783963 
 01/01  10:35:00,16.094038679820899 
 01/01  10:40:00,16.4205463058014 
 01/01  10:45:00,16.731322959337349 
 01/01  10:50:00,17.026153202988899 
 01/01  10:55:00,17.304829388893589 
 01/01  11:00:00,17.567152263112093 
 01/01  11:05:00,17.812931562928556 
 01/01  11:10:00,18.041986603210107 
 01/01  11:15:00,18.254146847834347 
 01/01  11:20:00,18.449252462140597 
 01/01  11:25:00,18.627154842353158 
 01/01  11:30:00,18.787717117965469 
 01/01  11:35:00,18.930814623165543 
 01/01  11:40:00,19.05633533352608 
 01/01  11:45:00,19.16418026437658 
 01/01  11:50:00,19.254263827520306 
 01/01  11:55:00,19.32651414325243 
 01/01  12:00:00,19.380873304974327 
 01/01  12:05:00,19.41729759407976 
 01/01  12:10:00,19.435757643204487 
 01/01  12:15:00,19.436238546377447 
 01/01  12:20:00,19.41873991508106 
 01/01  12:25:00,19.38327587971378 
 01/01  12:30:00,19.32987503644162 
 01/01  12:35:00,19.258580339919367 
 01/01  12:40:00,19.16944894284811 
 01/01  12:45:00,19.0625519838066 
 01/01  12:50:00,18.937974325241428 
 01/01  12:55:00,18.79581424391926 
 01/01  13:00:00,18.636183076526405 
 01/01  13:05:00,18.459204823442716 
 01/01  13:10:00,18.265015714012294 
 01/01  13:15:00,18.053763736881895 
 01/01  13:20:00,17.82560813917446 
 01/01  13:25:00,17.580718898411239 
 01/01  13:30:00,17.319276171189804 
 01/01  13:35:00,17.04146972266893 
 01/01  13:40:00,16.747498340906085 
 01/01  13:45:00,16.437569240042639 
 01/01  13:50:00,16.11189745623841 
 01/01  13:55:00,15.770705240125546 
 01/01  14:00:00,15.414221449386173 
 01/01  14:05:00,15.042680944863506 
 01/01  14:10:00,14.656323993396763 
 01/01  14:15:00,14.255395680332038 
 01/01  14:20:00,13.840145334408295 
 01/01  14:25:00,13.410825967454736 
 01/01  14:30:00,12.967693731068059 
 01/01  14:35:00,12.511007392168759 
 01/01  14:40:00,12.04102782906889 
 01/01  14:45:00,11.558017549422886 
 01/01  14:50:00,11.062240231181386 
 01/01  14:55:00,10.553960287426616 
 01/01  15:00:00,10.033442455740879 
 01/01  15:05:00,9.500951412546934 
 01/01  15:10:00,8.956751412662053 
 01/01  15:15:00,8.401105954128095 
 01/01  15:20:00,7.834277468217306 
 01/01  15:25:00,7.256527034368073 
 01/01  15:30:00,6.668114119677449 
 01/01  15:35:00,6.069296342466151 
 01/01  15:40:00,5.460329259337161 
 01/01  15:45:00,4.841466175070369 
 01/01  15:50:00,4.212957974631784 
 01/01  15:55:00,3.5750529765255338 
 01/01  16:00:00,2.927996806680225 
 01/01  16:05:00,2.272032292035913 
 01/01  16:10:00,1.6073993729835974 
 01/01  16:15:00,0.9343350338056312 
 01/01  16:20:00,0.25307325026876317 
 01/01  16:25:00,-0.4361550464642948 
 01/01  16:30:00,-1.133121990420204 
 01/01  16:35:00,-1.8376027866870122 
 01/01  16:40:00,-2.5493757033302697 
 01/01  16:45:00,-3.2682220500756768 
 01/01  16:50:00,-3.993926144440788 
 01/01  16:55:00,-4.726275265954025 
 01/01  17:00:00,-5.465059599053657 
 01/01  17:05:00,-6.210072165210838 
 01/01  17:10:00,-6.961108744768908 
 01/01  17:15:00,-7.717967788939181 
 01/01  17:20:00,-8.480450322339645 
 01/01  17:25:00,-9.248359836406016 
 01/01  17:30:00,-10.021502173948944 
 01/01  17:35:00,-10.79968540507316 
 01/01  17:40:00,-11.582719694614206 
 01/01  17:45:00,-12.370417161189018 
 01/01  17:50:00,-13.162591727895107 
 01/01  17:55:00,-13.959058964629183 
 01/01  18:00:00,-14.759635921932267 
 01/01  18:05:00,-15.564140956202487 
 01/01  18:10:00,-16.372393546046945 
 01/01  18:15:00,-17.184214099474539 
 01/01  18:20:00,-17.99942375155843 
 01/01  18:25:00,-18.817844152119109 
 01/01  18:30:00,-19.639297242900175 
 01/01  18:35:00,-20.463605023625268 
 01/01  18:40:00,-21.29058930623499 
 01/01  18:45:00,-22.120071456510347 
 01/01  18:50:00,-22.951872122190556 
 01/01  18:55:00,-23.78581094658675 
 01/01  19:00:00,-24.62170626658204 
 01/01  19:05:00,-25.45937479378931 
 01/01  19:10:00,-26.298631277508954 
 01/01  19:15:00,-27.139288147993449 
 01/01  19:20:00,-27.981155138378989 
 01/01  19:25:00,-28.824038883487064 
 01/01  19:30:00,-29.667742493531553 
 01/01  19:35:00,-30.51206510058791 
 01/01  19:40:00,-31.356801375487959 
 01/01  19:45:00,-32.20174101260036 
 01/01  19:50:00,-33.046668179740219 
 01/01  19:55:00,-33.89136093021977 
 01/01  20:00:00,-34.73559057381135 
 01/01  20:05:00,-35.579121003140759 
 01/01  20:10:00,-36.421707971764259 
 01/01  20:15:00,-37.26309831991438 
 01/01  20:20:00,-38.103029143625317 
 01/01  20:25:00,-38.94122690267531 
 01/01  20:30:00,-39.777406462520698 
 01/01  20:35:00,-40.61127006514886 
 01/01  20:40:00,-41.442506223558627 
 01/01  20:45:00,-42.270788534402978 
 01/01  20:50:00,-43.095774403219959 
 01/01  20:55:00,-43.91710367665437 
 01/01  21:00:00,-44.734397176172539 
 01/01  21:05:00,-45.54725512802984 
 01/01  21:10:00,-46.355255484715787 
 01/01  21:15:00,-47.15795213383318 
 01/01  21:20:00,-47.954872991441877 
 01/01  21:25:00,-48.7455179783961 
 01/01  21:30:00,-49.52935688023903 
 01/01  21:35:00,-50.305827093909197 
 01/01  21:40:00,-51.07433126800696 
 01/01  21:45:00,-51.83423484783294 
 01/01  21:50:00,-52.58486354203257 
 01/01  21:55:00,-53.32550073466399 
 01/01  22:00:00,-54.05538487507368 
 01/01  22:05:00,-54.77370688833194 
 01/01  22:10:00,-55.47960766135115 
 01/01  22:15:00,-56.17217567435329 
 01/01  22:20:00,-56.850444864150237 
 01/01  22:25:00,-57.51339282471644 
 01/01  22:30:00,-58.159939471541999 
 01/01  22:35:00,-58.78894631876135 
 01/01  22:40:00,-59.399216541205657 
 01/01  22:45:00,-59.989496016015049 
 01/01  22:50:00,-60.55847555839926 
 01/01  22:55:00,-61.1047945810444 
 01/01  23:00:00,-61.62704641335699 
 01/01  23:05:00,-62.12378551142086 
 01/01  23:10:00,-62.593536767988478 
 01/01  23:15:00,-63.03480708971118 
 01/01  23:20:00,-63.44609934227238 
 01/01  23:25:00,-63.82592867048118 
 01/01  23:30:00,-64.1728410792416 
 01/01  23:35:00,-64.48543401531969 
 01/01  23:40:00,-64.76237852572462 
 01/01  23:45:00,-65.0024423975684 
 01/01  23:50:00,-65.20451352209696 
 01/01  23:55:00,-65.36762259105272 
 01/01  24:00:00,-65.49096414659802 
 01/02  00:05:00,-65.48570017441925 
 01/02  00:10:00,-65.53152150601044 
 01/02  00:15:00,-65.53642303933853 
 01/02  00:20:00,-65.50037939763996 
 01/02  00:25:00,-65.42357672226524 
 01/02  00:30:00,-65.30640806201693 
 01/02  00:35:00,-65.14946378619203 
 01/02  00:40:00,-64.95351756196365 
 01/02  00:45:00,-64.71950865793913 
 01/02  00:50:00,-64.44852148470275 
 01/02  00:55:00,-64.14176335185849 
 01/02  01:00:00,-63.80054141199352 
 01/02  01:05:00,-63.426239686260448 
 01/02  01:10:00,-63.0202969408767 
 01/02  01:15:00,-62.58418602813306 
 01/02  01:20:00,-62.11939513822198 
 01/02  01:25:00,-61.62741124522672 
 01/02  01:30:00,-61.10970588371561 
 01/02  01:35:00,-60.56772326890132 
 01/02  01:40:00,-60.00287067653119 
 01/02  01:45:00,-59.41651092860913 
 01/02  01:50:00,-58.80995678546234 
 01/02  01:55:00,-58.18446701995518 
 01/02  02:00:00,-57.541243941645848 
 01/02  02:05:00,-56.881432143202989 
 01/02  02:10:00,-56.2061182546535 
 01/02  02:15:00,-55.51633150979241 
 01/02  02:20:00,-54.813044950780589 
 01/02  02:25:00,-54.0971771196354 
 01/02  02:30:00,-53.36959410759777 
 01/02  02:35:00,-52.63111185432297 
 01/02  02:40:00,-51.88249860793637 
 01/02  02:45:00,-51.12447747395336 
 01/02  02:50:00,-50.357728995812788 
 01/02  02:55:00,-49.58289372237387 
 01/02  03:00:00,-48.80057472832728 
 01/02  03:05:00,-48.011340062263148 
 01/02  03:10:00,-47.21572510433362 
 01/02  03:15:00,-46.41423482125954 
 01/02  03:20:00,-45.60734591106549 
 01/02  03:25:00,-44.795508833570398 
 01/02  03:30:00,-43.97914972548044 
 01/02  03:35:00,-43.15867220107519 
 01/02  03:40:00,-42.33445904107162 
 01/02  03:45:00,-41.506873773400247 
 01/02  03:50:00,-40.676262150426747 
 01/02  03:55:00,-39.84295352767035 
 01/02  04:00:00,-39.0072621493723 
 01/02  04:05:00,-38.16948834640243 
 01/02  04:10:00,-37.32991965199987 
 01/02  04:15:00,-36.48883184075684 
 01/02  04:20:00,-35.64648989609916 
 01/02  04:25:00,-34.8031489113152 
 01/02  04:30:00,-33.95905492894785 
 01/02  04:35:00,-33.11444572310986 
 01/02  04:40:00,-32.269551529018048 
 01/02  04:45:00,-31.42459572377195 
 01/02  04:50:00,-30.5797954621372 
 01/02  04:55:00,-29.735362270833425 
 01/02  05:00:00,-28.891502604574993 
 01/02  05:05:00,-28.0484183668713 
 01/02  05:10:00,-27.206307398365593 
 01/02  05:15:00,-26.365363935272805 
 01/02  05:20:00,-25.525779040273386 
 01/02  05:25:00,-24.68774100802799 
 01/02  05:30:00,-23.851435747297509 
 01/02  05:35:00,-23.01704714148485 
 01/02  05:40:00,-22.184757389257535 
 01/02  05:45:00,-21.354747326762849 
 01/02  05:50:00,-20.527196732809839 
 01/02  05:55:00,-19.70228461826464 
 01/02  06:00:00,-18.880189500784537 
 01/02  06:05:00,-18.061089665903979 
 01/02  06:10:00,-17.24516341538014 
 01/02  06:15:00,-16.432589303605576 
 01/02  06:20:00,-15.623546362801929 
 01/02  06:25:00,-14.818214317619783 
 01/02  06:30:00,-14.016773789685072 
 01/02  06:35:00,-13.21940649255211 
 01/02  06:40:00,-12.426295417446755 
 01/02  06:45:00,-11.637625010108846 
