Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,13837152.698281188,13837152.698281186,22732455.277934486 
 01/01  02:00:00,13426072.43049695,13426072.43049695,18692930.824454715 
 01/01  03:00:00,14183292.81169829,14183292.811698288,20101022.11633124 
 01/01  04:00:00,13440234.55316649,13440234.553166489,16937580.520481025 
 01/01  05:00:00,14300366.471416692,14300366.471416692,20141581.806054236 
 01/01  06:00:00,13425493.485748599,13425493.485748599,18300720.796397199 
 01/01  07:00:00,15299892.12103546,15299892.12103546,23597256.62803083 
 01/01  08:00:00,14792421.282567913,14792421.28256791,21950444.43768479 
 01/01  09:00:00,15349963.42727251,15349963.42727251,27597127.765509745 
 01/01  10:00:00,14785759.449960718,14785759.449960718,22474990.31931755 
 01/01  11:00:00,14891651.328159027,14891651.328159027,23693247.925474477 
 01/01  12:00:00,11521974.583743172,11521974.583743172,20431602.461813407 
 01/01  13:00:00,11665328.31888733,11665328.31888733,24349281.1589726 
 01/01  14:00:00,10942187.1792979,10942187.1792979,20068524.47318751 
 01/01  15:00:00,13206615.344321412,13206615.344321412,20706401.014518035 
 01/01  16:00:00,14245387.28518253,14245387.28518253,17463161.342572996 
 01/01  17:00:00,14885913.107868843,14885913.107868843,22559707.037685854 
 01/01  18:00:00,14288430.280737328,14288430.280737324,20719110.183424757 
 01/01  19:00:00,14912939.30491696,14912939.304916956,24564297.505727106 
 01/01  20:00:00,14184313.091134465,14184313.091134465,21693095.73861602 
 01/01  21:00:00,14779999.426177048,14779999.426177044,23100003.729857465 
 01/01  22:00:00,14382875.202815326,14382875.202815323,22058350.13293811 
 01/01  23:00:00,14896141.769805227,14896141.769805227,23700474.93302037 
 01/01  24:00:00,14288573.183641067,14288573.183641067,20694463.271871985 
 01/02  01:00:00,16794187.61122742,16794187.61122742,21253113.935998855 
 01/02  02:00:00,16182059.565754328,16182059.565754328,17954217.512012565 
 01/02  03:00:00,16818240.029721358,16818240.029721358,19411602.715871306 
 01/02  04:00:00,16179206.053763988,16179206.053763988,17180550.2568507 
 01/02  05:00:00,16835653.333069557,16835653.33306955,18457121.782417794 
