Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.933738E-02,5.147553E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.354569E+03,3.350063E-01,3.618453E+03,5.423772E+03,2.764514E-01,8.008567E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.026851E+03,2.747950E-01,2.975051E+03,4.618450E+03,1.714028E-01,4.891450E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.091414E+02,1.479703E-01,1.597236E+03,2.573549E+03,2.772104E-01,8.022975E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.026851E+03,2.312541E-01,2.489919E+03,4.083588E+03,1.731226E-01,4.924098E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.091414E+02,1.765954E-01,1.916185E+03,2.919663E+03
00:20:00,7.929918E-02,5.146828E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.362729E+03,3.339487E-01,3.598487E+03,5.403262E+03,2.764364E-01,8.008282E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.033036E+03,2.723967E-01,2.942114E+03,4.583620E+03,1.713949E-01,4.891299E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.128105E+02,1.466567E-01,1.578915E+03,2.553952E+03,2.771949E-01,8.022681E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.033036E+03,2.288716E-01,2.457163E+03,4.048651E+03,1.731147E-01,4.923948E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.128105E+02,1.740241E-01,1.883847E+03,2.885473E+03
00:30:00,7.926125E-02,5.146108E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.370888E+03,3.329579E-01,3.579265E+03,5.383506E+03,2.764215E-01,8.007999E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.039222E+03,2.700830E-01,2.910121E+03,4.549691E+03,1.713870E-01,4.891149E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.164796E+02,1.453903E-01,1.561119E+03,2.534858E+03,2.771796E-01,8.022390E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.039222E+03,2.266179E-01,2.425843E+03,4.015114E+03,1.731068E-01,4.923799E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.164796E+02,1.716181E-01,1.853351E+03,2.853115E+03
00:40:00,7.922358E-02,5.145393E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.379047E+03,3.320031E-01,3.560445E+03,5.364121E+03,2.764068E-01,8.007719E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.045407E+03,2.678143E-01,2.878628E+03,4.516151E+03,1.713792E-01,4.891001E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.201487E+02,1.441488E-01,1.543602E+03,2.515971E+03,2.771643E-01,8.022101E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.045407E+03,2.244512E-01,2.395492E+03,3.982439E+03,1.730990E-01,4.923650E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.201487E+02,1.693406E-01,1.824287E+03,2.822153E+03
00:50:00,7.918618E-02,5.144683E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.387206E+03,3.311180E-01,3.542421E+03,5.345571E+03,2.763921E-01,8.007440E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.051592E+03,2.656324E-01,2.848130E+03,4.483652E+03,1.713714E-01,4.890854E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.238179E+02,1.429615E-01,1.526702E+03,2.497745E+03,2.771492E-01,8.021814E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.051592E+03,2.224137E-01,2.366602E+03,3.951318E+03,1.730913E-01,4.923503E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.238179E+02,1.672054E-01,1.796825E+03,2.792861E+03
01:00:00,7.914904E-02,5.143978E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.395365E+03,3.302722E-01,3.524837E+03,5.327454E+03,2.763775E-01,8.007164E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.057777E+03,2.635041E-01,2.818231E+03,4.451730E+03,1.713637E-01,4.890707E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.274870E+02,1.418065E-01,1.510165E+03,2.479875E+03,2.771342E-01,8.021529E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.057777E+03,2.204639E-01,2.338693E+03,3.921178E+03,1.730836E-01,4.923358E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.274870E+02,1.651797E-01,1.770586E+03,2.764815E+03
01:10:00,7.915171E-02,5.144029E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.400804E+03,3.294867E-01,3.510644E+03,5.312823E+03,2.763790E-01,8.007192E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.061900E+03,2.614570E-01,2.791300E+03,4.422900E+03,1.713645E-01,4.890723E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.299330E+02,1.406997E-01,1.495387E+03,2.463849E+03,2.771357E-01,8.021557E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.061900E+03,2.186263E-01,2.314095E+03,3.894517E+03,1.730844E-01,4.923373E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.299330E+02,1.632712E-01,1.746875E+03,2.739407E+03
01:20:00,7.915436E-02,5.144079E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.406244E+03,3.287399E-01,3.496884E+03,5.298633E+03,2.763804E-01,8.007219E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.066024E+03,2.594798E-01,2.765146E+03,4.394870E+03,1.713654E-01,4.890739E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.323791E+02,1.396340E-01,1.481067E+03,2.448300E+03,2.771372E-01,8.021585E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.066024E+03,2.168837E-01,2.290555E+03,3.868968E+03,1.730852E-01,4.923389E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.323791E+02,1.614655E-01,1.724310E+03,2.715190E+03
01:30:00,7.915699E-02,5.144129E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.411683E+03,3.280281E-01,3.483513E+03,5.284841E+03,2.763818E-01,8.007246E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.070147E+03,2.575694E-01,2.739738E+03,4.367595E+03,1.713662E-01,4.890754E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.348252E+02,1.386074E-01,1.467183E+03,2.433199E+03,2.771386E-01,8.021612E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.070147E+03,2.152298E-01,2.268004E+03,3.844453E+03,1.730860E-01,4.923404E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.348252E+02,1.597547E-01,1.702802E+03,2.692068E+03
01:40:00,7.915959E-02,5.144179E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.417123E+03,3.273480E-01,3.470495E+03,5.271412E+03,2.763832E-01,8.007273E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.074271E+03,2.557235E-01,2.715047E+03,4.341061E+03,1.713670E-01,4.890769E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.372713E+02,1.376184E-01,1.453717E+03,2.418535E+03,2.771401E-01,8.021640E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.074271E+03,2.136592E-01,2.246380E+03,3.820919E+03,1.730868E-01,4.923420E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.372713E+02,1.581314E-01,1.682269E+03,2.669965E+03
01:50:00,7.916218E-02,5.144228E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.422562E+03,3.266967E-01,3.457798E+03,5.258310E+03,2.763846E-01,8.007299E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.078394E+03,2.539396E-01,2.691048E+03,4.315260E+03,1.713678E-01,4.890784E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.397173E+02,1.366655E-01,1.440654E+03,2.404303E+03,2.771415E-01,8.021667E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.078394E+03,2.121669E-01,2.225630E+03,3.798326E+03,1.730876E-01,4.923435E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.397173E+02,1.565890E-01,1.662638E+03,2.648817E+03
02:00:00,7.916475E-02,5.144276E+03,7.660075E-02,0.000000E+00,0.000000E+00,7.660075E-02,1.428002E+03,3.260718E-01,3.445395E+03,5.245510E+03,2.763860E-01,8.007325E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.082518E+03,2.522158E-01,2.667718E+03,4.290182E+03,1.713685E-01,4.890799E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.421634E+02,1.357474E-01,1.427979E+03,2.390499E+03,2.771429E-01,8.021693E+03,5.806833E-02,0.000000E+00,0.000000E+00,5.806833E-02,1.082518E+03,2.107486E-01,2.205704E+03,3.776640E+03,1.730884E-01,4.923449E+03,3.444688E-02,0.000000E+00,0.000000E+00,3.444688E-02,6.421634E+02,1.551219E-01,1.643845E+03,2.628567E+03
