Time,CORE_ZN:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.273520E+03,3.159612E+03,6.611448E-02,2.791720E-01,4.438087E+03,2.591548E+03,2.303762E-01,2.289958E-01,2.751690E+03,1.395475E+03,1.428357E-01,1.233086E-01,4.450271E+03,2.180922E+03,2.310087E-01,1.927118E-01,2.779299E+03,1.665443E+03,1.442688E-01,1.471628E-01
00:20:00,1.272907E+03,3.149613E+03,6.608265E-02,2.782906E-01,4.437846E+03,2.568898E+03,2.303637E-01,2.269973E-01,2.751562E+03,1.383069E+03,1.428291E-01,1.222139E-01,4.450023E+03,2.158424E+03,2.309958E-01,1.907264E-01,2.779171E+03,1.641172E+03,1.442622E-01,1.450201E-01
00:30:00,1.272298E+03,3.140244E+03,6.605104E-02,2.774649E-01,4.437607E+03,2.547046E+03,2.303513E-01,2.250692E-01,2.751436E+03,1.371107E+03,1.428225E-01,1.211586E-01,4.449777E+03,2.137142E+03,2.309830E-01,1.888483E-01,2.779045E+03,1.618461E+03,1.442557E-01,1.430151E-01
00:40:00,1.271694E+03,3.131214E+03,6.601965E-02,2.766692E-01,4.437370E+03,2.525618E+03,2.303390E-01,2.231786E-01,2.751310E+03,1.359382E+03,1.428160E-01,1.201240E-01,4.449532E+03,2.116680E+03,2.309703E-01,1.870427E-01,2.778920E+03,1.596962E+03,1.442492E-01,1.411172E-01
00:50:00,1.271093E+03,3.122864E+03,6.598848E-02,2.759317E-01,4.437134E+03,2.505038E+03,2.303267E-01,2.213604E-01,2.751185E+03,1.348182E+03,1.428095E-01,1.191346E-01,4.449289E+03,2.097461E+03,2.309577E-01,1.853447E-01,2.778796E+03,1.576822E+03,1.442427E-01,1.393378E-01
01:00:00,1.270497E+03,3.114886E+03,6.595753E-02,2.752268E-01,4.436901E+03,2.484966E+03,2.303146E-01,2.195867E-01,2.751062E+03,1.337290E+03,1.428031E-01,1.181721E-01,4.449048E+03,2.079073E+03,2.309452E-01,1.837199E-01,2.778672E+03,1.557718E+03,1.442363E-01,1.376498E-01
01:10:00,1.270540E+03,3.107477E+03,6.595976E-02,2.745722E-01,4.436924E+03,2.465660E+03,2.303158E-01,2.178808E-01,2.751075E+03,1.326852E+03,1.428038E-01,1.172497E-01,4.449072E+03,2.061742E+03,2.309464E-01,1.821886E-01,2.778686E+03,1.539719E+03,1.442370E-01,1.360593E-01
01:20:00,1.270583E+03,3.100434E+03,6.596197E-02,2.739499E-01,4.436947E+03,2.447013E+03,2.303170E-01,2.162331E-01,2.751088E+03,1.316801E+03,1.428045E-01,1.163616E-01,4.449096E+03,2.045308E+03,2.309476E-01,1.807364E-01,2.778699E+03,1.522690E+03,1.442377E-01,1.345546E-01
01:30:00,1.270625E+03,3.093720E+03,6.596416E-02,2.733568E-01,4.436970E+03,2.428997E+03,2.303182E-01,2.146412E-01,2.751101E+03,1.307120E+03,1.428051E-01,1.155062E-01,4.449119E+03,2.029710E+03,2.309488E-01,1.793582E-01,2.778712E+03,1.506555E+03,1.442384E-01,1.331289E-01
01:40:00,1.270667E+03,3.087305E+03,6.596633E-02,2.727900E-01,4.436993E+03,2.411589E+03,2.303194E-01,2.131029E-01,2.751114E+03,1.297793E+03,1.428058E-01,1.146820E-01,4.449142E+03,2.014897E+03,2.309500E-01,1.780493E-01,2.778725E+03,1.491246E+03,1.442390E-01,1.317761E-01
