Time,CORE_ZN:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,7.523797E+02,3.019532E+03,3.905960E-02,2.668012E-01,2.365160E+03,2.278361E+03,1.227797E-01,2.013102E-01,1.476049E+03,1.289724E+03,7.662395E-02,1.139565E-01,2.359348E+03,1.933412E+03,1.224780E-01,1.708318E-01,1.467408E+03,1.439119E+03,7.617539E-02,1.271564E-01
00:20:00,7.515672E+02,3.014437E+03,3.901742E-02,2.663511E-01,2.364855E+03,2.262920E+03,1.227639E-01,1.999459E-01,1.475888E+03,1.281062E+03,7.661558E-02,1.131913E-01,2.359035E+03,1.922368E+03,1.224617E-01,1.698561E-01,1.467246E+03,1.426344E+03,7.616700E-02,1.260276E-01
00:30:00,7.507602E+02,3.009461E+03,3.897552E-02,2.659114E-01,2.364552E+03,2.247798E+03,1.227481E-01,1.986098E-01,1.475728E+03,1.272571E+03,7.660726E-02,1.124410E-01,2.358724E+03,1.911574E+03,1.224456E-01,1.689023E-01,1.467086E+03,1.413993E+03,7.615866E-02,1.249364E-01
00:40:00,7.499585E+02,3.004592E+03,3.893390E-02,2.654812E-01,2.364251E+03,2.232982E+03,1.227325E-01,1.973007E-01,1.475569E+03,1.264244E+03,7.659901E-02,1.117053E-01,2.358415E+03,1.901017E+03,1.224295E-01,1.679696E-01,1.466926E+03,1.402035E+03,7.615039E-02,1.238798E-01
00:50:00,7.491622E+02,2.999823E+03,3.889256E-02,2.650598E-01,2.363953E+03,2.218460E+03,1.227170E-01,1.960176E-01,1.475411E+03,1.256076E+03,7.659081E-02,1.109835E-01,2.358108E+03,1.890688E+03,1.224136E-01,1.670570E-01,1.466768E+03,1.390443E+03,7.614217E-02,1.228556E-01
01:00:00,7.483711E+02,2.995146E+03,3.885149E-02,2.646466E-01,2.363656E+03,2.204223E+03,1.227016E-01,1.947597E-01,1.475254E+03,1.248061E+03,7.658268E-02,1.102754E-01,2.357803E+03,1.880580E+03,1.223978E-01,1.661638E-01,1.466611E+03,1.379192E+03,7.613401E-02,1.218615E-01
01:10:00,7.484254E+02,2.990709E+03,3.885431E-02,2.642546E-01,2.363680E+03,2.190410E+03,1.227029E-01,1.935392E-01,1.475267E+03,1.240281E+03,7.658337E-02,1.095879E-01,2.357828E+03,1.870850E+03,1.223991E-01,1.653041E-01,1.466624E+03,1.368352E+03,7.613470E-02,1.209037E-01
01:20:00,7.484793E+02,2.986352E+03,3.885711E-02,2.638696E-01,2.363704E+03,2.176944E+03,1.227041E-01,1.923493E-01,1.475280E+03,1.232695E+03,7.658405E-02,1.089177E-01,2.357852E+03,1.861405E+03,1.224003E-01,1.644696E-01,1.466638E+03,1.357861E+03,7.613539E-02,1.199768E-01
01:30:00,7.485329E+02,2.982072E+03,3.885989E-02,2.634914E-01,2.363728E+03,2.163820E+03,1.227054E-01,1.911898E-01,1.475293E+03,1.225302E+03,7.658472E-02,1.082645E-01,2.357877E+03,1.852240E+03,1.224016E-01,1.636598E-01,1.466651E+03,1.347706E+03,7.613606E-02,1.190795E-01
01:40:00,7.485860E+02,2.977865E+03,3.886265E-02,2.631198E-01,2.363751E+03,2.151036E+03,1.227066E-01,1.900602E-01,1.475306E+03,1.218101E+03,7.658539E-02,1.076283E-01,2.357901E+03,1.843356E+03,1.224028E-01,1.628748E-01,1.466663E+03,1.337872E+03,7.613673E-02,1.182106E-01
